Date,NHS Ayrshire & Arran,NHS Borders,NHS Dumfries & Galloway,NHS Fife,NHS Forth Valley,NHS Grampian,NHS Greater Glasgow & Clyde,NHS Highland,NHS Lanarkshire,NHS Lothian,NHS Orkney,NHS Shetland,NHS Tayside,NHS Western Isles,Scotland
3/7/20,*,*,*,*,*,*,*,*,*,*,*,*,*,*,16
3/8/20,*,*,*,*,*,*,*,*,*,*,*,*,*,*,21
3/9/20,*,*,*,*,*,*,*,*,*,5,*,*,*,*,23
3/10/20,*,*,*,*,*,6,*,*,*,7,*,*,*,*,27
3/11/20,*,*,*,*,*,6,5,*,*,8,*,*,*,*,36
4/16/20,503,220,207,446,400,389,"1,742",184,911,"1,107",5,45,937,6,"7,102"
4/17/20,536,229,209,488,431,394,"1,794",187,934,"1,172",5,45,979,6,"7,409"
4/18/20,560,231,222,514,451,432,"1,905",193,995,"1,239",5,45,"1,022",6,"7,820"
4/19/20,586,237,229,532,509,464,"1,949",197,"1,022","1,344",5,51,"1,056",6,"8,187"
4/20/20,604,239,231,542,542,490,"2,020",198,"1,051","1,399",6,51,"1,071",6,"8,450"
4/21/20,623,240,231,561,562,519,"2,085",201,"1,076","1,426",6,52,"1,084",6,"8,672"
4/22/20,640,243,235,593,569,550,"2,174",211,"1,118","1,515",6,54,"1,124",6,"9,038"
4/23/20,653,248,235,619,604,602,"2,250",214,"1,155","1,604",6,54,"1,159",6,"9,409"
4/24/20,678,253,235,637,606,638,"2,311",214,"1,176","1,684",6,54,"1,199",6,"9,697"
4/25/20,692,258,237,653,655,700,"2,428",220,"1,187","1,730",7,54,"1,224",6,"10,051"
4/26/20,705,259,240,672,662,748,"2,479",225,"1,231","1,785",7,54,"1,251",6,"10,324"
4/27/20,721,269,243,681,680,771,"2,531",228,"1,265","1,804",7,54,"1,261",6,"10,521"
4/28/20,738,272,243,692,689,782,"2,604",232,"1,297","1,832",7,54,"1,273",6,"10,721"
4/29/20,745,279,244,712,717,813,"2,672",236,"1,329","1,907",7,54,"1,313",6,"11,034"
